rating,tel,name,url,price,hours,address,holiday
Bib Gourmand,TEL03-3248-4567,Sakanaryori Akai,n/a,"PriceLunch = menu &yen2;,500Dinner = menu &yen4;,320-6,264carte &yen4;,000-7,000Seat charge = &yen756; (carte)","Opening hours, last ordersLunch = 11:30-13:00 (L.O.)Dinner = 17:00-22:30 (L.O.)","1F, Wakatsuki Bldg, 4-13-16 Ginza, Chuo-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
Bib Gourmand,TEL03-3828-3435,Gyokaizanmai Akira,URLhttp://www.sendagi-osakana.com,"PriceLunch = carte &yen970-1;,470Dinner = menu &yen3;,218-5,400carte &yen4;,000-8,000Seat charge = &yen540; (Ã  la carte)","Opening hours, last ordersLunch = Friday & weekends 11:30-13:45 (L.O.)Dinner = 18:00-22:15 (L.O.)","3-38-8 Sendagi, Bunkyo-ku, Tokyo",Annual and weekly closingClosed Monday and last Sunday
Bib Gourmand,TEL03-6265-0029,Honke Agezuki,n/a,"PriceLunch = menu &yen1;,188-1,674weekends &yen1;,792-3,283Dinner = menu &yen1;,792-3,283carte &yen3;,000-4,500","Opening hours, last ordersLunch = 11:30-14:30 (L.O.) or when the dayâ€™s stock runs outDinner = weekdays & Saturday 18:00-22:30 L.O.22:00 or when the dayâ€™s stock runs outSunday & Public Holidays 17:30-21:00 L.O.20:30","B1F, Yamanouchi Bldg, 3-2 Kagurazaka, Shinjuku-ku, Tokyo",Annual and weekly closingClosed Tuesday and 3rd Wednesday of the month
Bib Gourmand,TEL03-6758-0271,Akomeya,URLhttp://www.akomeya.jp,"PriceLunch = menu &yen2;,030-2,192Dinner = menu &yen4;,298-6,318carte &yen4;,000-6,000Seat charge = &yen540; (dinner)","Opening hours, last ordersLunch = 11:30-14:00 (L.O )Dinner = 17:30-21:00 (L.O )","2-2-6 Ginza, Chuo-ku, Tokyo",n/a
Bib Gourmand,TEL03-3789-1190,L'Assiette,URLhttp://www.seijo-assiette.com/,"PriceLunch = menu &yen2;,700-7,560Dinner = menu &yen4;,320-10,800Service charge = 10%","Opening hours, last ordersLunch = 11:30-14:00 (L.O.)Dinner = 17:30-20:00 (L.O.)","6-10-3 Seijo, Setagaya-ku, Tokyo","Annual and weekly closingClosed Monday (unless Public Holiday, then Tuesday) and 3rd Tuesday"
two stars,TEL03-3408-2910,Ajiman,n/a,"PriceDinner = carte &yen40;,000-55,000","Opening hours, last ordersDinner = 18:00-24:00 L.O.22:00","3-8-8 Roppongi, Minato-ku, Tokyo","Annual and weekly closingClosed July, August, and Sunday from April to June"
Bib Gourmand,TEL03-6809-0965,Ã„ta,URLhttp://www.ata1789.com,"PriceDinner = carte &yen4;,500-6,000","Opening hours, last ordersDinner = 17:00-2:00","2-5 Sarugakucho, Shibuya-ku, Tokyo",Annual and weekly closingClosed Sunday
one star,TEL03-3572-7088,Adachi Naoto,URLhttp://www.ginza-adachi.jp/,"PriceDinner = menu &yen10;,800-16,200Service charge = 10%","Opening hours, last ordersDinner = 18:00-24:00Saturday 18:00-22:00","2F, Ishiikishuya Bldg, 7-6-5 Ginza, Chuo-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
Bib Gourmand,TEL03-6228-6077,Tempura Abe Honten,n/a,"PriceLunch = menu &yen3;,000-8,000carte &yen1;,000-10,000Dinner = menu &yen3;,500-8,000carte &yen3;,000-10,000Seat charge = &yen800; (if having set menu)","Opening hours, last ordersLunch = 11:30-14:00weekends 11:30-15:00Dinner = 17:00-21:00","B1F, Subaru Bldg, 4-3-7 Ginza, Chuo-ku, Tokyo",n/a
Bib Gourmand,TEL03-5484-8117,Amanoya,URLhttp://www.amano-ya.jp,"PriceDinner = carte &yen2;,000-4,000","Opening hours, last ordersDinner = 18:30-22:00","3-1-9 Azabujuban, Minato-ku, Tokyo",Annual and weekly closingClosed Tuesday
Bib Gourmand,TEL03-6795-3000,A Mio Agio,n/a,"PriceLunch = menu &yen1;,400-2,100Dinner = carte &yen3;,000-5,000","Opening hours, last ordersLunch = 11:30-14:30 L.O.13:30Dinner = 18:00-22:00 L.O.21:00","7-15-13 Oizumigakuencho, Nerima-ku, Tokyo",Annual and weekly closingClosed Wednesday and 1st & 3rd Tuesday of the month
one star,TEL03-3409-1331,Amour,URLhttp://amourtokyojapan.com,"PriceLunch = menu &yen5;,400-12,960Dinner = menu &yen10;,800-21,600Service charge = 10%","Opening hours, last ordersLunch = 12:00-15:30 L.O.13:00Dinner = 18:00-23:00 L.O.20:30","1-6-13 Hiroo, Shibuya-ku, Tokyo","Annual and weekly closingClosed Wednesday (unless Public Holiday, then Thursday)"
one star,TEL03-5422-7358,L'Alchimiste,URLhttp://www.alchimiste.jp,"PriceLunch = menu &yen8;,100Dinner = menu &yen12;,960Service charge = 10%","Opening hours, last ordersLunch = weekends 12:00-15:00 L.O.13:00Dinner = 18:00-23:00 L.O.20:30","1F, Filage Shirokane, 1-25-26 Shirokane, Minato-ku, Tokyo",Annual and weekly closingClosed Wednesday
Bib Gourmand,TEL03-6265-0620,Alberini,URLhttp://www.alberini.jp,"PriceDinner = carte &yen4;,000-5,500Seat charge = &yen400;","Opening hours, last ordersDinner = 17:30-23:30 L.O.22:30","1F, Kineya Bldg, 2 Fukuromachi, Shinjuku-ku, Tokyo",Annual and weekly closingClosed Sunday
one star,TEL03-3535-6667,Aroma Fresca,URLhttp://www.aromafresca-afsa.com,"PriceLunch = menu &yen9;,180Dinner = menu &yen13;,824-18,144Service charge = 10%Seat charge = &yen540;","Opening hours, last ordersLunch = Wednesday-Saturday 11:30-15:00 L.O.13:00Dinner = 17:30-23:00 L.O.20:30","12F, Ginza Trecious, 2-6-5 Ginza, Chuo-ku, Tokyo",Annual and weekly closingClosed Sunday and 1st Monday
Bib Gourmand,TEL03-3392-7234,Unagi Anzai,n/a,"PriceLunch = carte &yen3;,456-7,000Dinner = carte &yen3;,456-7,000","Opening hours, last ordersLunch = 11:30-14:00 L.O.13:30Dinner = 17:30-20:00 L.O.19:30","4-12-16 Ogikubo, Suginami-ku, Tokyo",Annual and weekly closingClosed Wednesday and Thursday
Bib Gourmand,TEL03-6721-1331,Ciuri Ciuri,n/a,"PriceLunch = menu &yen1;,300-2,400Dinner = carte &yen4;,000-5,500Seat charge = &yen300; (dinner)","Opening hours, last ordersLunch = 12:00-14:30 (L.O.)Dinner = 18:00-22:30 (L.O.)","2-18-20 Minamiaoyama, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holiday Mondays
Bib Gourmand,TEL03-6412-8251,Antica Braceria Bell'Italia,n/a,"PriceLunch = menu weekdays &yen1;,000-3,500Public Holidays &yen2;,500-5,500Dinner = carte &yen4;,000-6,000Seat charge = &yen1;,000 (dinner)","Opening hours, last ordersLunch = Monday-Friday 11:30-15:00 L.O.14:00Dinner = 18:00-23:00","3-4-3 Shimomeguro, Meguro-ku, Tokyo",Annual and weekly closingClosed Sunday
Bib Gourmand,TEL03-5758-5405,Infusion,URLhttp://www.infusion.jp,"PriceLunch = menu &yen2;,200-5,000Dinner = menu &yen4;,000-8,000Service charge = 5% (dinner)","Opening hours, last ordersLunch = 11:30-14:30 (L.O.)Dinner = 17:30-21:30 (L.O.)","1F, N&K;'s Park Bldg, 1-29-1 Sakurashinmachi, Setagaya-ku, Tokyo","Annual and weekly closingClosed Monday (unless Public Holiday, then Tuesday)"
Bib Gourmand,TEL03-3843-0881,Dozeu Iidaya,n/a,"PriceLunch = menu &yen600-8;,700weekends &yen5;,700-8,700carte &yen2;,000-4,000Dinner = menu &yen5;,700-8,700carte &yen2;,000-4,000Private room fee = &yen2;,000-3,000","Opening hours, last ordersLunch = 11:30-15:00weekends 11:30-21:30 L.O.21:00Dinner = 15:00-21:30 L.O.21:00","3-3-2 Nishiasakusa, Taito-ku,Tokyo",Annual and weekly closingClosed Wednesday
one star,TEL03-5724-8085,Icaro,URLhttp://r.10pre.jp/icaromiyamoto,"PriceDinner = menu &yen7;,500carte &yen5;,500-8,000Seat charge = &yen800;","Opening hours, last ordersDinner = 18:00-1:00Saturday & Public Holidays 17:30-24:00","4F, Coms Nakameguro, 2-44-24 Kamimeguro, Meguro-ku, Tokyo",Annual and weekly closingClosed Sunday
Bib Gourmand,TEL03-3818-2413,Isa,URLhttp://www.bunkyo-isa.com/,"PriceDinner = menu &yen4;,752","Opening hours, last ordersDinner = 18:00-23:00 L.O.21:30","1-2-2 Honkomagome, Bunkyo-ku, Tokyo","Annual and weekly closingClosed Tuesday (unless Public Holiday, then Wednesday)"
three stars,TEL03-5225-0173,Kagurazaka Ishikawa,URLhttp://www.kagurazaka-ishikawa.co.jp,"PriceDinner = menu &yen24;,840Service charge = 10%","Opening hours, last ordersDinner = 17:30-24:00 L.O.22:00","5-37 Kagurazaka, Shinjuku-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
one star,TEL03-3813-8038,Ishibashi,URLhttp://www.unagi-ishibashi.com,"PriceLunch = menu &yen10;,000carte &yen4;,000-12,000Dinner = menu &yen13;,000-15,000carte &yen4;,000-12,000Service charge = 10%","Opening hours, last ordersLunch = 11:30-13:30 (L.O.)Saturday 11:30-14:00 (L.O.)Dinner = 18:00-19:30 (L.O.)Saturday 17:30-20:00 (L.O.)","2-4-29 Suido, Bunkyo-ku, Tokyo","Annual and weekly closingClosed Sunday, Monday and Public Holidays"
one star,TEL03-3251-3580,Ishibashi,n/a,"PriceDinner = menu &yen8;,640-10,800Service charge = &yen1;,404","Opening hours, last ordersDinner = 17:00-21:30 L.O.19:30","3-6-8 Sotokanda, Chiyoda-ku, Tokyo","Annual and weekly closingClosed Saturday, Sunday and Public Holidays"
Bib Gourmand,TEL03-3444-8480,Menya Ishin,n/a,"PriceLunch = carte &yen750-1;,000Dinner = carte &yen750-1;,000","Opening hours, last ordersLunch = 11:30-15:00Dinner = 18:00-22:00","1F, Sanrion Bldg, 3-4-1 Kamiosaki, Shinagawa-ku, Tokyo",Annual and weekly closingClosed Sunday
one star,TEL03-3402-9424,Ichi,n/a,"PriceDinner = menu &yen3;,780-12,960Service charge = 10%","Opening hours, last ordersDinner = 18:00-23:30","1F, Shimizu Bldg, 7-10-30 Roppongi, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
one star,TEL03-3280-1439,Hiroo Ichie,n/a,"PriceDinner = menu &yen12;,960Service charge = 10%","Opening hours, last ordersDinner = 18:00-23:00 L.O.20:30","B1F, Excel Shirota Bldg, 5-16-16 Hiroo, Shibuya-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holiday Mondays
one star,TELNone,Ichikawa,URLhttps://pocket-concierge.jp/restaurants/243776,"PriceLunch = menu &yen27;,000Dinner = menu &yen27;,000","Opening hours, last ordersLunch = Sunday 12:00 (L.O.)Dinner = 18:00-22:30 L.O.20:30","1F, OJ House, 2-10-13 Minamiazabu, Minato-ku, Tokyo",Annual and weekly closingClosed Wednesday
one star,TEL03-5772-2936,Azabu Ichigo,URLhttp://www.azabu-ichigo.com,"PriceDinner = menu &yen13;,824carte &yen5;,500-10,000Service charge = 10%Seat charge = &yen2;,160 (Ã  la carte)","Opening hours, last ordersDinner = 17:30-23:30 L.O.22:30","B1F, My-Corner Bldg, 2-5-14 Azabujuban, Minato-ku, Tokyo",Annual and weekly closingClosed Monday and 1st & 3rd Sunday of the month
two stars,TEL03-3573-2015,Ginza Ichigo,URLhttp://www.ginza-ichigo.com,"PriceDinner = menu &yen16;,200-37,800Service charge = 10% (private room 15%)","Opening hours, last ordersDinner = 17:30-20:00 (L.O.)","3F, Juno Ginza Seiwa Bldg, 8-7-7 Ginza, Chuo-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
one star,TEL03-5206-8223,Kaiseki Ichimonji,n/a,"PriceLunch = menu &yen8;,640-17,280Dinner = menu &yen12;,960-21,600Service charge = 10%Private room fee = &yen5;,000","Opening hours, last ordersLunch = 12:00-14:00 (L.O.)Dinner = 18:00-21:00 (L.O.)","3-6 Kagurazaka, Shinjuku-ku, Tokyo",n/a
one star,TEL03-6410-7355,Ichirin,URLhttp://www.mikizo.com,"PriceLunch = menu &yen16;,200-21,600Dinner = menu &yen16;,200-21,600Service charge = 10%","Opening hours, last ordersLunch = 12:30-13:00 (L.O.)Dinner = 18:00-20:00 (L.O.)","2F, Azuma Bldg, 2-19-5 Jingumae, Shibuya-ku, Tokyo",n/a
one star,TEL03-5603-1108,Sushi Isshin,n/a,"PriceDinner = menu &yen6;,480-16,200","Opening hours, last ordersDinner = 18:00-22:00 (L.O.)","4-11-3 Asakusa, Taito-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
Bib Gourmand,TEL03-6903-3833,Ittoan,n/a,"PriceLunch = carte &yen680-5;,000Dinner = carte &yen680-5;,000","Opening hours, last ordersLunch = 11:45-14:30 L.O.14:00 or when the dayâ€™s stock runs outPublic Holidays 12:00-15:30 L.O.15:00Dinner = Thursday-Saturday 18:00-21:00 L.O.20:30 or when the dayâ€™s stock runs out","2-16-10 Higashijujo, Kita-ku, Tokyo",Annual and weekly closingClosed Sunday and 2nd & 4th Monday of the month
one star,TEL03-3582-0101,Izumi,n/a,"PriceDinner = menu &yen21;,600-30,240Service charge = 15%","Opening hours, last ordersDinner = 17:00-22:00","6-11-11 Akasaka, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
one star,TEL03-3454-6538,Itosho,n/a,"PriceLunch = menu &yen6;,480Dinner = menu &yen8;,640-10,800Service charge = 10%","Opening hours, last ordersLunch = 12:00-15:00 L.O.13:00Dinner = 17:30-21:30 L.O.19:30","3-4-7 Azabujuban, Minato-ku, Tokyo",n/a
Bib Gourmand,TEL03-5635-5077,Trattoria I'Bischero,URLhttp://www.ibischero.com,"PriceDinner = carte &yen3;,000-5,000Seat charge = &yen300;","Opening hours, last ordersDinner = 18:00-21:30 (L.O.)Sunday & Public Holidays 18:00-20:30 (L.O.)","2F, Luminous Kiba Koen, 5-11-2 Toyo, Koto-ku, Tokyo","Annual and weekly closingClosed Monday, and 2nd & last Sunday of the month"
one star,TEL03-6278-8110,Ginza Ibuki,n/a,"PriceLunch = menu &yen1;,404-17,280Dinner = menu &yen12;,960-21,600Service charge = 10% (dinner)","Opening hours, last ordersLunch = Tuesday-Saturday 11:30-14:10 L.O.13:10Dinner = 18:00-23:00 L.O.21:00","B1F, Daini Matsuoka Bldg, 2-14-6 Ginza, Chuo-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holiday Mondays
one star,TEL050-2018-0982,Imafuku,URLhttp://www.kuroge-wagyu.com/if,"PriceDinner = menu &yen10;,800-14,040carte &yen10;,000-12,000","Opening hours, last ordersDinner = 17:00-24:00","1-12-19 Shirokane, Minato-ku, Tokyo",n/a
one star,TEL03-5789-3637,Sushi Imamura,n/a,"PriceLunch = menu &yen7;,560-11,340Dinner = menu &yen17;,280","Opening hours, last ordersLunch = weekends 12:00-14:00Dinner = 18:00-20:15, 20:30-23:00weekend 17:30-20:00, 20:15-23:00","5-8-13 Shirokane, Minato-ku, Tokyo",Annual and weekly closingClosed Monday
Bib Gourmand,TEL03-3844-1187,Unagi Irokawa,n/a,"PriceLunch = carte &yen3;,000-4,500","Opening hours, last ordersLunch = 11:30-14:30 or when the dayâ€™s stock runs out","2-6-11 Kaminarimon, Taito-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
Bib Gourmand,TEL03-3664-3322,Iwase,n/a,"PriceDinner = menu &yen4;,860-7,020carte &yen4;,000-6,000Seat charge = &yen540; (Ã  la carte)","Opening hours, last ordersDinner = 17:30-22:30","1-5-10 Nihombashi-ningyocho, Chuo-ku, Tokyo","Annual and weekly closingClosed Saturday, Sunday and Public Holidays"
Bib Gourmand,TEL03-3987-9266,Kyo Chiso Iwafune,URLhttp://soba-iwafune.jp,"PriceLunch = carte &yen1;,000-2,000Dinner = carte &yen1;,500-3,000","Opening hours, last ordersLunch = 12:00-15:00 L.O.14:30Dinner = 18:00-22:00 L.O.21:30","3-53-9 Minamiotsuka, Toshima-ku, Tokyo","Annual and weekly closingClosed Sunday, Public Holidays and 1st, 3rd & 5th Saturday of the month"
one star,TEL03-5363-1046,Yotsuya Uemura,n/a,"PriceDinner = menu &yen12;,960-16,200Service charge = 10%","Opening hours, last ordersDinner = 18:00-21:00 (L.O.)","1F, Neomoto Bldg, 8-1 Arakicho, Shinjuku-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
three stars,TEL03-3499-5501,Usukifugu Yamadaya,URLhttp://www.azabu-yamadaya.jp/,"PriceDinner = menu &yen24;,840-35,640carte &yen18;,000-28,000Service charge = 10%","Opening hours, last ordersDinner = 18:00-24:00 L.O.22:30","B1F, Fleg Nishi Azabu Vierge, 4-11-14 Nishiazabu, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
Bib Gourmand,TEL03-5430-3711,Uchida,n/a,"PriceDinner = carte &yen3;,500-7,000Seat charge = &yen540;","Opening hours, last ordersDinner = 17:30-1:00 L.O.24:00Saturday 17:00-23:30 L.O.22:30","1F, Sadan Ota Bldg, 4-28-6 Taishido, Setagaya-ku, Tokyo",Annual and weekly closingClosed Sunday
two stars,TEL03-6408-9591,Tentempura Uchitsu,URLhttp://www.tempura-uchitsu.com,"PriceDinner = menu &yen21;,800","Opening hours, last ordersDinner = 18:00-23:00 L.O.21:00","1F, Takara Bldg, 5-25-4 Hiroo, Shibuya-ku, Tokyo",n/a
one star,TEL03-3541-6720,Ginza Uchiyama,URLhttp://www.ginza-uchiyama.co.jp,"PriceLunch = menu &yen1;,620-27,000Dinner = menu &yen14;,040-27,000Service charge = 10% (dinner)","Opening hours, last ordersLunch = 11:30-15:00 L.O.12:30Dinner = 18:00-23:00 L.O.21:30Sunday & Public Holidays 18:00-22:00 L.O.20:30","B1F, Light Bldg, 2-12-3 Ginza, Chuo-ku, Tokyo",Annual and weekly closingClosed Public Holiday Mondays
two stars,TEL03-3401-3368,Umi,n/a,"PriceDinner = menu &yen23;,000-27,000","Opening hours, last ordersDinner = 18:00-24:00","3-2-8 Minamiaoyama, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
two stars,TEL03-5537-5580,Esquisse,URLhttp://www.esquissetokyo.com,"PriceLunch = menu &yen11;,000-19,200Dinner = menu &yen19;,000-24,000Service charge = 12%Private room fee = &yen5;,000-10,000","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 18:00-20:30 (L.O.) except Sunday & Public Holiday Mondays","9F, Royal Crystal Ginza, 5-4-6 Ginza, Chuo-ku, Tokyo",n/a
two stars,TEL03-5549-4562,Ã‰dition Koji Shimomura,URLhttp://www.koji-shimomura.jp,"PriceLunch = menu &yen6;,480-21,600Dinner = menu &yen16;,200-21,600Service charge = 10%Private room fee less than 5 persons = &yen5;,400-21,600","Opening hours, last ordersLunch = 12:00-15:30 L.O.13:30Dinner = 18:00-23:30 L.O.21:00","1F, Roppongi T-Cube, 3-1-1 Roppongi, Minato-ku, Tokyo",n/a
Bib Gourmand,TEL03-3452-2922,Edoya,n/a,"PriceLunch = carte &yen2;,000-4,000Dinner = carte &yen2;,000-4,000","Opening hours, last ordersLunch = 11:30-14:30 L.O.14:00Dinner = 18:00-22:00 L.O.21:30","2-12-8 Azabujuban, Minato-ku, Tokyo",Annual and weekly closingClosed Tuesday and 3rd Wednesday
