rating,name,address,hours,holiday,price,url,tel
two stars,Aoki,"7-12-14 Tenjimbashi, Kita-ku, Osaka",Dinner = 17:30-20:30 (L.O.),Closed Sunday,"Dinner = ¥19,000",n/a,06-6940-0403
one star,Ajikitcho Bumbuan,"B1F, Honmachi Garden City, 3-6-4 Honmachi, Chuo-ku, Osaka",Lunch = 11:00-14:00 (L.O.)Dinner = 17:00-20:00 (L.O.),Closed Monday and 4th Sunday of the month,"Lunch = ¥3,500-25,000Dinner = ¥10,000-25,000",https://bunbu-an.jp/,06-6245-1055
one star,Ajikitcho Bumbuan,"B1F, Honmachi Garden City, 3-6-4 Honmachi, Chuo-ku, Osaka",Lunch = 11:00-14:00 (L.O.)Dinner = 17:00-20:00 (L.O.),Closed Monday and 4th Sunday of the month,"Lunch = ¥3,500-25,000Dinner = ¥10,000-25,000",https://bunbu-an.jp/,06-6245-1055
one star,Ajikitcho Horieten,"1-22-6 Kitahorie, Nishi-ku, Osaka",Lunch = 11:30-13:00 (L.O.)Dinner = 17:00-19:30 (L.O.),n/a,"Lunch = ¥19,000-46,000Dinner = ¥25,000-46,000",https://ajikitcho.com/,06-6543-1741
one star,Sushidokoro Amano,"1-6-4 Fukushima, Fukushima-ku, Osaka",Dinner = 18:00-23:30 L.O.21:30,"Closed Tuesday (unless Public Holiday, then Wednesday)","Dinner = ¥15,000",n/a,06-6454-7008
one star,Ayamuya,"5-17-39 Fukushima, Fukushima-ku, Osaka",Dinner = 17:30-22:30 L.O.21:30 or when the day's stock runs out,Closed Sunday and Public Holidays,"Dinner = ¥4,000-7,000",n/a,06-6455-7270
one star,Ayamedo,"2-2-26 Andojimachi, Chuo-ku, Osaka",Lunch = 11:30-14:30 (L.O.) or when the day's stock runs outDinner = 17:30-20:30 (L.O.) or when the day's stock runs out,Closed Sunday and 3rd Monday of the month,"Lunch = ¥1,000-4,000Dinner = ¥1,000-4,000",n/a,06-7504-5260
two stars,Ichiju Nisai Ueno Minoten,"2-5 Minookoen, Mino",Lunch = 12:00-14:00 (L.O.)Dinner = 18:00-20:00 (L.O.),Closed Monday and Tuesday,"Lunch = ¥11,000-18,000Dinner = ¥15,000-34,000",https://ichijunisai-ueno.net/minoh/,072-745-0699
two stars,Ichiju Nisai Ueno Minoten,"2-5 Minookoen, Mino",Lunch = 12:00-14:00 (L.O.)Dinner = 18:00-20:00 (L.O.),Closed Monday and Tuesday,"Lunch = ¥11,000-18,000Dinner = ¥15,000-34,000",https://ichijunisai-ueno.net/minoh/,072-745-0699
Bib Gourmand,Il Luogo di Takeuchi,"5-1-26 Fukushima, Fukushima-ku, Osaka",Lunch = 11:30-14:00 (L.O.)Dinner = 18:00-22:00 (L.O.),Closed Sunday and 2nd Monday of the month,"Lunch = Under ¥1,500Dinner = ¥5,000-8,000",https://www.takeuchi-italia.jp/il_luogo_di_takeuchi,06-6451-0151
one star,Iroha,"5F, Kitashinchi Bldg, 1-3-19 Sonezakishinchi, Kita-ku, Osaka",Dinner = 17:30-22:30 (L.O.),Closed Sunday and Public Holidays,"Dinner = ¥14,000-20,000",n/a,06-6344-7355
one star,Iwaki,"2F, Takara Bldg, 1-6-29 Sonezakishinchi, Kita-ku, Osaka",Lunch = Wednesday and Saturday 11:30-14:00 L.O.13:30Dinner = 17:30-22:30 L.O.21:30,Closed Sunday and Public Holidays,"Lunch = ¥6,500-19,000Dinner = ¥13,000-19,000",http://k-iwaki.com/,06-6345-1108
one star,Unkaku,"1-18-17 Temma, Kita-ku, Osaka",Lunch = 11:30-13:30 (L.O.)Dinner = 17:30-20:00 (L.O.),n/a,"Lunch = ¥5,500-33,000Dinner = ¥8,500-37,000",http://www.unkaku.jp/,06-6809-6515
one star,Oimatsu Kitagawa,"4-1-11 Nishitemma, Kita-ku, Osaka",Lunch = 12:00 (L.O.)Dinner = 18:00-21:00 (L.O.),n/a,"Lunch = ¥9,000-20,000Dinner = ¥17,000-20,000",https://www.oimatsu-kitagawa.com/,06-6361-6411
one star,Kaishoku Shimizu,"1F, Shin Daibiru, 1-2-1 Dojimahama, Kita-ku, Osaka",Lunch = 11:30-12:30 (L.O.)Dinner = 17:00-21:00 (L.O.),Closed Sunday,"Lunch = ¥5,500-9,000Dinner = ¥15,000",n/a,06-6343-3140
one star,Kagaman,"1-2-33 Dojima, Kita-ku, Osaka",Lunch = 11:30-13:30 (L.O.)Dinner = 17:00-21:30 (L.O.),Closed Sunday and Public Holiday,"Lunch = ¥6,500-19,000Dinner = ¥16,000-37,000",http://www.kagaman.co.jp/shop/kagaman/,06-6341-2381
