rating,tel,name,,price,hours,address,LAT,LONG,holiday
Bib Gourmand,TEL075-921-0865,Tempura Kawatatsu,n/a,"Lunch Y2,970-3,834Dinner Y4,428-11,880","Opening hours, last ordersLunch = Friday-Sunday 11:30-14:00 L.O.13:30, Dinner = 17:30-22:00 L.O.21:30","65 Kuzekawaharacho, Minami-ku, Kyoto",34.964967,135.720303,Annual and weekly closingClosed Tuesday except Public Holidays and 3rd Wednesday
Bib Gourmand,TEL075-394-4575,Sumikura,n/a,"Lunch Y3,500-8,000, Dinner menu &yen5,000-8,000","Opening hours, last ordersLunch = 12:00-14:00 (L.O.)Dinner = 18:00-21:30 (L.O.)","47 Kawashima-awatacho, Nishikyo-ku, Kyoto",34.9765023,135.6992556,n/a
Bib Gourmand,TEL075-551-9029,Tonkatsu Ganchi,n/a,"Lunch Y1,300-1,500, Dinner = carte &yen1,300-1,500","Opening hours, last ordersLunch = 11:00-14:00, Dinner = 17:00-20:00","13-14 Sennyuji-goyonotsujicho, Higashiyama-ku, Kyoto",34.9821671,135.772668,Annual and weekly closingClosed  Sunday
Bib Gourmand,TEL075-691-8155,En,n/a,"Dinner Y4,000-6,000Seat charge = &yen756-864;","Opening hours, last ordersDinner = 17:30-23:00","15-2 Nishisannocho, Higashikujo, Minami-ku, Kyoto",34.983039,135.7601025,Annual and weekly closingClosed Sunday except before a Public Holiday and Public Holiday Mondays
one star,TEL075-551-1055,Kako Okamoto,n/a,"Dinner Y11,800","Opening hours, last ordersDinner = 17:30-22:00 (L.O.)","470-4 Tokiwacho, Umacho Higashi-iru Minamigawa, Higashiyama-ku, Kyoto",34.9925494,135.7750206,Annual and weekly closingClosed Monday and last Sunday of the month
Bib Gourmand,TEL075-361-3231,疼 Peu Pr态s,http://apeupres.com,"Lunch Y2,100, Dinner Y3,500-5,500","Opening hours, last ordersLunch = Wednesday-Saturday 11:30-15:00 L.O.13:00, Dinner = 18:30-22:00 L.O.20:00","249 Zeniyacho, Matoba-dori Shinmachi Higashi-iru, Shimogyo-ku, Kyoto",34.994424,135.7574499,Annual and weekly closingClosed Sunday and Monday
one star,TEL075-351-1645,Honke Tankuma Honten,http://www.tankuma.jp,"Lunch Y5,400-43,200, Dinner Y16,200-43,200Service charge = 15%","Opening hours, last ordersLunch = 11:30-15:00 L.O.13:30, Dinner = 17:00-22:00 L.O.20:00","Kiyamachi-dori Bukkoji-sagaru, Shimogyo-ku, Kyoto",34.9946435,135.7669016,Annual and weekly closingClosed Sunday
one star,TEL075-531-2031,Sushi Matsumoto,n/a,"Lunch Y10,000-16,000, Dinner Y16,200-19,940","Opening hours, last ordersLunch = Thursday-Monday 12:00-14:00 L.O.13:30, Dinner = 18:00-21:00 L.O.20:00","570-123 Gionmachi嬆_昣峣namigawa, Higashiyama-ku, Kyoto",34.9970572,135.7761621,Annual and weekly closingClosed Tuesday
one star,TEL075-708-6364,Godan Miyazawa,http://www.jiki-miyazawa.com,"Lunch Y6,264-14,580, Dinner Y10,800-19,440Service charge = 10% (dinner)Private room fee = 10-20% (less than 4 persons)","Opening hours, last ordersLunch = 12:00-13:45 (L.O.)Dinner = 18:00-20:00 (L.O.)","557 Oecho, Higashitoin-dori Manjuji-agaru, Shimogyo-ku, Kyoto",34.9984959,135.7609718,Annual and weekly closingClosed Wednesday
two stars,TEL075-551-5000,Gion Sasaki,http://www.gionsasaki.com,"Lunch Y6,000, Dinner Y19,440-25,920Service charge = 10% (Lunch 5% )","Opening hours, last ordersLunch = 12:00-14:00, Dinner = 18:30-22:00","566-27 Komatsucho, Yasaka-dori Yamatooji Higashi-iru, Higashiyama-ku, Kyoto",34.9986098,135.7748761,Annual and weekly closingClosed Sunday and 2nd Monday
